,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,log.p,log.q,average_Price,threshold1,promo,ad,baseline,weekly_lift,total_lift
1,S,11/2/14,93144.6,472996.8,3.6,92,72622.1,413151.5,0,1,5.078091484,1.624935499,11.4419084,5.277732227,5.133616163,1,0,94132.18509,-987.5850872,-987.5850872
2,S,11/9/14,100393.2,529176.3,3.6,93,84714.7,481465.3,419.75,2,5.271037281,1.662227171,11.51684975,5.277732227,5.133616163,0,1,91661.03882,,
3,S,11/16/14,87245.9,478211.3,3.6,93,80233.7,456525.2,396.31,3,5.481189374,1.701322116,11.37648585,5.277732227,5.133616163,0,1,84885.39245,,
4,S,11/23/14,83920.4,464366.7,3.6,92,78122.3,446465.9,397.35,4,5.533418573,1.710805811,11.33762401,5.277732227,5.133616163,0,1,79206.94412,,
5,S,11/30/14,80922.4,446069.6,3.6,92,75452,430256.6,0,5,5.512313031,1.706984323,11.30124595,5.277732227,5.133616163,0,0,79564.22601,,
6,S,12/7/14,82227.2,445092.8,3.6,93,74919.4,426751.3,0,6,5.412963107,1.688796652,11.31724143,5.277732227,5.133616163,0,0,86108.67145,,
7,S,12/14/14,76354.6,407470.6,3.5,91,68687.9,389548.3,0,7,5.336556016,1.674580504,11.24314356,5.277732227,5.133616163,0,0,75240.11106,,
8,S,12/21/14,67742.2,374751.1,3.5,91,65241.7,369412.6,0,8,5.532018446,1.710552748,11.1234646,5.277732227,5.133616163,0,0,68917.55376,,
9,S,12/28/14,46740.3,260649.8,3.3,89,45828.3,259471.6,0,9,5.576553852,1.718570996,10.75236203,5.277732227,5.133616163,0,0,48934.64189,,
10,S,1/4/15,53714.1,299796.3,3.4,90,52550.4,297450.1,0,10,5.581333393,1.719427707,10.89143082,5.277732227,5.133616163,0,0,57651.30194,,
11,S,1/11/15,81395.8,448627.8,3.6,92,76488.3,432221,0,11,5.511682421,1.706869916,11.30707895,5.277732227,5.133616163,1,0,77821.48214,3574.317864,-4732.268783
12,S,1/18/15,87897.4,478676.8,3.7,93,77423.9,437513.6,0,12,5.445858467,1.694855405,11.3839255,5.277732227,5.133616163,1,0,88715.84183,-818.44183,
13,S,1/25/15,84926.1,461453.3,3.7,93,74585.1,422586.7,0,13,5.433586377,1.69259939,11.34953675,5.277732227,5.133616163,1,0,88800.66404,-3874.564041,
14,S,2/1/15,81936.1,445994.5,3.6,93,74576.5,421555.5,0,14,5.443199029,1.694366945,11.31369495,5.277732227,5.133616163,1,0,82826.47973,-890.3797346,
15,S,2/8/15,81262.2,442741.5,3.7,92,73883.9,418584.6,0,15,5.448308069,1.695305115,11.30543624,5.277732227,5.133616163,1,0,83985.40104,-2723.201042,
16,S,2/15/15,78932.2,432498.8,3.6,91,72571.5,411039.9,0,16,5.479370903,1.700990296,11.27634454,5.277732227,5.133616163,0,0,73575.81787,,
17,S,2/22/15,82122.5,444252.8,3.6,92,72731.5,412765.5,0,17,5.409635605,1.688181735,11.31596731,5.277732227,5.133616163,0,0,79206.82751,,
18,S,3/1/15,90267.7,481667.9,3.6,93,75319.3,427593.2,0,18,5.335993938,1.674475173,11.41053498,5.277732227,5.133616163,1,0,84958.32552,5309.374483,29905.19306
19,S,3/8/15,94327.7,502564.1,3.7,93,77281.2,439601.6,0,19,5.327852794,1.672948304,11.45453017,5.277732227,5.133616163,1,0,90299.72435,4027.975652,
20,S,3/15/15,98305,519301.5,3.7,93,79086.7,450066.6,0,20,5.282554295,1.664409749,11.49583017,5.277732227,5.133616163,1,0,91403.21565,6901.784349,
21,S,3/22/15,98622.8,524404.6,3.7,93,82315.5,468914.8,425.99,21,5.317275518,1.670961052,11.49905775,5.277732227,5.133616163,1,1,90038.5725,8584.2275,
22,S,3/29/15,90525.5,493972.8,3.7,93,83399.8,473986.5,430.26,22,5.456725453,1.696848876,11.41338686,5.277732227,5.133616163,1,1,85443.66892,5081.831077,
23,S,4/5/15,82383.9,452443.7,3.7,92,77764.2,441783,408.96,23,5.491894654,1.703273306,11.31914531,5.277732227,5.133616163,0,1,80291.42047,,
24,S,4/12/15,91645.7,482286.4,3.6,92,76594.6,435868.4,0,24,5.262509861,1.660608073,11.42568533,5.277732227,5.133616163,0,0,81688.89175,,
25,S,4/19/15,92597.9,500265.8,3.7,93,83855.9,475991.5,0,25,5.402560965,1.686873094,11.43602174,5.277732227,5.133616163,1,0,86233.22533,6364.674675,54332.31714
