Date,TV_GRPS,Radio_GRPS
01/01/2015,0,0
02/01/2015,5.46,0
03/01/2015,4.39,0
04/01/2015,4.35,0
05/01/2015,4.28,0
06/01/2015,4.18,0
07/01/2015,4.02,0
08/01/2015,4.46,0
09/01/2015,6.08,0
10/01/2015,7.09,0
11/01/2015,20.95,0
12/01/2015,23.92,0
13/01/2015,4.62,0
14/01/2015,18.57,0
15/01/2015,6.36,0
16/01/2015,49.82,0
17/01/2015,44.26,0
18/01/2015,27.72,0
19/01/2015,63.84,0
20/01/2015,37.93,0
21/01/2015,51.37,0
22/01/2015,35.85,0
23/01/2015,65.19,0
24/01/2015,63.92,0
25/01/2015,23.49,0
26/01/2015,0,0
27/01/2015,0,0
28/01/2015,0,0
29/01/2015,0.01,0
30/01/2015,46.41,0
31/01/2015,46.86,0
01/02/2015,36.84,0
02/02/2015,55.4,0
03/02/2015,43.44,0
04/02/2015,45.82,0
05/02/2015,40.34,0
06/02/2015,41.19,0
07/02/2015,48.16,0
08/02/2015,73.43,0
09/02/2015,68.06,0
10/02/2015,52.7,0
11/02/2015,49.01,0
12/02/2015,64.47,0
13/02/2015,88.12,0
14/02/2015,77.46,0
15/02/2015,37.93,0
16/02/2015,36.11,0
17/02/2015,34.71,0
18/02/2015,33.23,0
19/02/2015,29.78,0
20/02/2015,31.06,0
21/02/2015,39.74,0
22/02/2015,56.99,0
23/02/2015,51.52,0
24/02/2015,56.88,0
25/02/2015,41.3,0
26/02/2015,39.84,0
27/02/2015,94.47,0
28/02/2015,110.5,0
01/03/2015,39.15,0
02/03/2015,43.21,0
03/03/2015,34.93,0
04/03/2015,29.7,0
05/03/2015,42.85,0
06/03/2015,29.92,0
07/03/2015,32.43,0
08/03/2015,55.85,0
09/03/2015,63.91,0
10/03/2015,48.37,0
11/03/2015,4.31,0
12/03/2015,4.62,0
13/03/2015,68.53,0
14/03/2015,64.4,0
15/03/2015,32.92,0
16/03/2015,50.01,6.36
17/03/2015,43.41,5.86
18/03/2015,40.72,6.56
19/03/2015,46.71,5
20/03/2015,30.08,5.42
21/03/2015,59.1,3.44
22/03/2015,31.44,2.72
23/03/2015,75.51,5.39
24/03/2015,57.47,0
25/03/2015,36.97,0
26/03/2015,20.61,0
27/03/2015,36.13,0
28/03/2015,60.55,0
29/03/2015,0,0
30/03/2015,0,0
31/03/2015,0,0
01/04/2015,0,0
02/04/2015,0,0
03/04/2015,3.92,0
04/04/2015,4.14,0
05/04/2015,55.36,0
06/04/2015,53.07,0
07/04/2015,69.57,0
08/04/2015,67.08,0
09/04/2015,46.05,0
10/04/2015,56.47,0
11/04/2015,62.98,0
12/04/2015,23.82,0
13/04/2015,4.26,0
14/04/2015,4.28,0
15/04/2015,4.38,0
16/04/2015,6.56,0
17/04/2015,8.33,0
18/04/2015,74.6,0
19/04/2015,43.68,0
20/04/2015,39.63,0
21/04/2015,37.63,0
22/04/2015,40.29,0
23/04/2015,50,0
24/04/2015,35.88,0
25/04/2015,47.83,0
26/04/2015,74.18,0
27/04/2015,46.74,0
28/04/2015,48.08,0
29/04/2015,51.26,0
30/04/2015,44.33,0
01/05/2015,40.34,0
02/05/2015,70.24,0
03/05/2015,53.21,0
04/05/2015,49.28,0
05/05/2015,46.06,0
06/05/2015,34.65,0
07/05/2015,48.73,0
08/05/2015,33.87,0
09/05/2015,50.93,0
10/05/2015,51.34,0
11/05/2015,38.43,0
12/05/2015,23.69,0
13/05/2015,3.53,0
14/05/2015,3.8,0
15/05/2015,3.81,0
16/05/2015,4.04,0
17/05/2015,0.35,0
18/05/2015,0,0
19/05/2015,0,0
20/05/2015,0,0
21/05/2015,0,0
22/05/2015,64.46,0
23/05/2015,68.26,0
24/05/2015,27.03,0
25/05/2015,39.31,0
26/05/2015,29.27,0
27/05/2015,35.4,0
28/05/2015,41.64,0
29/05/2015,40.42,0
30/05/2015,34.57,0
31/05/2015,34.38,0
01/06/2015,56.2,0
02/06/2015,39.2,0
03/06/2015,52.7,0
04/06/2015,41,0
05/06/2015,65.62,0
06/06/2015,47.2,0
07/06/2015,25.78,0
08/06/2015,2.94,0
09/06/2015,3.04,0
10/06/2015,3.01,0
11/06/2015,3.23,0
12/06/2015,72.22,0
13/06/2015,34.49,0
14/06/2015,54.51,0
15/06/2015,30.5,0
16/06/2015,35.41,0
17/06/2015,51.15,0
18/06/2015,52.59,0
19/06/2015,37.71,0
20/06/2015,37.53,0
21/06/2015,34.35,0
22/06/2015,39.11,0
23/06/2015,63.14,0
24/06/2015,46.34,0
25/06/2015,46.44,0
26/06/2015,51.04,0
27/06/2015,37.52,0
28/06/2015,38.57,0
29/06/2015,38.6,0
30/06/2015,20.75,0
01/07/2015,4.28,0
02/07/2015,3.79,0
03/07/2015,4.25,0
04/07/2015,3.88,0
05/07/2015,2.44,0
06/07/2015,2.89,0
07/07/2015,2.88,0
08/07/2015,27.3,0
09/07/2015,38.01,0
10/07/2015,23.67,0
11/07/2015,29.09,0
12/07/2015,32.17,0
13/07/2015,34.89,0
14/07/2015,29.98,0
15/07/2015,39.65,0
16/07/2015,43.25,0
17/07/2015,30.2,0
18/07/2015,30.06,0
19/07/2015,44.88,0
20/07/2015,51.65,0
21/07/2015,39.41,0
22/07/2015,53.11,0
23/07/2015,39.38,0
24/07/2015,35.82,0
25/07/2015,45.21,0
26/07/2015,14.92,0
27/07/2015,0,0
28/07/2015,0.01,0
29/07/2015,53.19,0
30/07/2015,48.56,0
31/07/2015,86.86,0
01/08/2015,70.6,0
02/08/2015,79.32,0
03/08/2015,98.58,0
04/08/2015,72.6,0
05/08/2015,78.28,0
06/08/2015,76.9,0
07/08/2015,82.12,0
08/08/2015,57.79,0
09/08/2015,66.49,0
10/08/2015,86.79,0
11/08/2015,84.97,0
12/08/2015,45.91,0
13/08/2015,4.58,0
14/08/2015,4.39,0
15/08/2015,4.05,0
16/08/2015,0.95,0
17/08/2015,0,0
18/08/2015,0,0
19/08/2015,0,0
20/08/2015,0,0
21/08/2015,0,0
22/08/2015,0,0
23/08/2015,0,0
24/08/2015,0,0
25/08/2015,0,0
26/08/2015,0,0
27/08/2015,0,0
28/08/2015,69.92,0
29/08/2015,50.44,0
30/08/2015,42.09,0
31/08/2015,34.5,0
01/09/2015,54.4,0
02/09/2015,34.08,0
03/09/2015,37.63,0
04/09/2015,34.59,0
05/09/2015,42.18,0
06/09/2015,43.06,0
07/09/2015,33.6,0
08/09/2015,46.76,0
09/09/2015,27.8,0
10/09/2015,30.73,0.15
11/09/2015,27.46,32.7
12/09/2015,37.07,29.47
13/09/2015,21.66,21.16
14/09/2015,13.25,38.04
15/09/2015,9.94,37.9
16/09/2015,10.94,37.58
17/09/2015,14.3,37.24
18/09/2015,7.9,38.48
19/09/2015,8.64,34.71
20/09/2015,51.43,19.8
21/09/2015,20.84,33.01
22/09/2015,45.96,33.37
23/09/2015,42.8,32.54
24/09/2015,42.51,32.93
25/09/2015,45.09,0
26/09/2015,50.42,0
27/09/2015,0,0
28/09/2015,0,0
29/09/2015,0,0
30/09/2015,0,0
01/10/2015,0,0.15
02/10/2015,38.12,35.43
03/10/2015,32.14,29.92
04/10/2015,64.62,22.48
05/10/2015,52.38,35.9
06/10/2015,63.28,37.37
07/10/2015,49.69,36.75
08/10/2015,55.14,35.75
09/10/2015,41.79,0
10/10/2015,51.64,0
11/10/2015,27.9,0
12/10/2015,37.12,0
13/10/2015,0,0
14/10/2015,0,0
15/10/2015,31.3,0
16/10/2015,38.93,0
17/10/2015,34.3,0
18/10/2015,54.51,0
19/10/2015,66.34,0
20/10/2015,52.75,0
21/10/2015,60.06,0
22/10/2015,49.65,0
