Week,GT_Chain1,GT_Chain2,GT_Chain3,GT_Chain4
26/02/2012,44,8,0,2
04/03/2012,42,7,0,2
11/03/2012,37,7,0,2
18/03/2012,34,6,0,2
25/03/2012,32,6,0,1
01/04/2012,32,8,0,1
08/04/2012,41,12,1,2
15/04/2012,35,9,0,1
22/04/2012,35,10,0,1
29/04/2012,47,8,0,2
06/05/2012,38,9,0,2
13/05/2012,41,8,0,1
20/05/2012,39,8,0,1
27/05/2012,34,6,0,1
03/06/2012,38,6,0,1
10/06/2012,36,8,0,1
17/06/2012,32,7,0,1
24/06/2012,38,7,0,1
01/07/2012,31,5,0,1
08/07/2012,35,7,0,1
15/07/2012,40,8,0,1
22/07/2012,44,9,0,1
29/07/2012,44,10,0,1
05/08/2012,41,9,0,1
12/08/2012,45,10,0,1
19/08/2012,40,9,0,1
26/08/2012,39,6,0,1
02/09/2012,40,7,0,1
09/09/2012,37,8,0,1
16/09/2012,45,9,0,1
23/09/2012,60,11,0,1
30/09/2012,64,8,0,1
07/10/2012,55,7,0,1
14/10/2012,56,7,0,1
21/10/2012,50,7,0,1
28/10/2012,59,8,0,1
04/11/2012,46,11,0,1
11/11/2012,36,10,0,1
18/11/2012,36,9,0,1
25/11/2012,32,8,0,1
02/12/2012,33,8,0,1
09/12/2012,28,9,0,1
16/12/2012,28,6,0,1
23/12/2012,42,8,0,1
30/12/2012,98,12,0,1
06/01/2013,96,9,0,1
13/01/2013,100,12,0,1
20/01/2013,53,9,0,1
27/01/2013,54,11,0,1
03/02/2013,40,9,0,2
10/02/2013,40,9,0,2
17/02/2013,38,12,0,1
24/02/2013,40,12,0,1
03/03/2013,38,9,0,1
10/03/2013,38,9,0,1
17/03/2013,39,9,0,2
24/03/2013,38,8,0,1
31/03/2013,44,8,0,1
07/04/2013,41,8,0,1
14/04/2013,39,9,0,1
21/04/2013,48,15,0,2
28/04/2013,49,19,0,1
05/05/2013,34,11,0,1
12/05/2013,33,8,0,1
19/05/2013,41,8,0,2
26/05/2013,51,8,0,2
02/06/2013,37,7,0,1
09/06/2013,40,7,0,1
16/06/2013,36,7,0,1
23/06/2013,36,7,0,1
30/06/2013,39,8,0,1
07/07/2013,40,8,0,2
14/07/2013,43,9,0,1
21/07/2013,39,8,0,1
28/07/2013,41,9,0,1
04/08/2013,44,11,0,2
11/08/2013,52,12,0,2
18/08/2013,48,11,0,1
25/08/2013,50,9,0,1
01/09/2013,50,9,0,1
08/09/2013,49,10,0,2
15/09/2013,52,15,0,1
22/09/2013,50,14,0,6
29/09/2013,50,12,0,1
06/10/2013,58,13,0,2
13/10/2013,55,11,1,1
20/10/2013,55,10,0,2
27/10/2013,64,11,0,2
03/11/2013,53,10,0,2
10/11/2013,50,10,0,2
17/11/2013,49,10,0,2
24/11/2013,44,10,0,1
01/12/2013,45,12,0,1
08/12/2013,37,11,0,1
15/12/2013,38,10,0,2
22/12/2013,47,10,0,1
29/12/2013,59,14,0,2
05/01/2014,50,11,0,1
12/01/2014,51,11,0,2
19/01/2014,46,13,0,2
26/01/2014,46,15,0,1
02/02/2014,49,13,0,1
09/02/2014,49,14,0,2
16/02/2014,44,10,0,5
23/02/2014,47,11,0,2
02/03/2014,45,11,0,2
09/03/2014,47,10,0,2
16/03/2014,41,16,0,2
23/03/2014,43,15,0,2
30/03/2014,38,11,0,2
06/04/2014,37,10,0,2
13/04/2014,43,10,0,2
20/04/2014,53,12,0,2
27/04/2014,44,10,0,2
04/05/2014,44,9,0,2
11/05/2014,41,11,0,1
18/05/2014,42,12,0,4
25/05/2014,37,11,0,2
01/06/2014,40,11,0,2
08/06/2014,46,9,0,2
15/06/2014,79,9,0,3
22/06/2014,47,9,0,2
29/06/2014,40,12,0,2
06/07/2014,54,15,0,1
13/07/2014,55,14,0,2
20/07/2014,45,12,0,2
27/07/2014,46,11,0,2
03/08/2014,47,11,0,2
10/08/2014,56,14,1,2
17/08/2014,53,14,0,2
24/08/2014,44,13,0,2
31/08/2014,46,12,0,2
07/09/2014,45,13,0,2
14/09/2014,42,13,0,2
21/09/2014,40,13,0,2
28/09/2014,44,12,0,2
05/10/2014,46,11,0,2
12/10/2014,52,13,0,2
19/10/2014,44,12,0,2
26/10/2014,46,13,0,2
02/11/2014,52,13,0,2
09/11/2014,49,10,0,2
16/11/2014,42,10,0,2
23/11/2014,39,12,0,2
30/11/2014,45,12,0,2
07/12/2014,49,14,0,2
14/12/2014,40,12,0,2
21/12/2014,51,14,0,3
28/12/2014,66,16,0,3
04/01/2015,42,13,0,2
11/01/2015,40,11,0,2
18/01/2015,46,11,0,2
25/01/2015,42,9,0,2
01/02/2015,36,9,0,2
08/02/2015,36,9,0,2
15/02/2015,40,16,0,2
22/02/2015,43,16,0,2
01/03/2015,53,13,0,2
08/03/2015,49,15,0,2
15/03/2015,59,14,0,2
22/03/2015,87,14,0,2
29/03/2015,44,13,0,2
05/04/2015,51,19,0,2
12/04/2015,62,15,0,2
19/04/2015,50,15,0,2
26/04/2015,51,13,0,2
03/05/2015,42,12,0,2
10/05/2015,34,10,0,2
17/05/2015,41,11,0,2
24/05/2015,47,10,0,2
31/05/2015,44,12,0,2
07/06/2015,42,9,0,2
14/06/2015,49,10,0,2
21/06/2015,45,9,0,2
28/06/2015,39,9,0,2
05/07/2015,42,11,0,2
12/07/2015,41,14,0,2
19/07/2015,45,13,0,2
26/07/2015,43,13,0,2
02/08/2015,46,13,0,2
09/08/2015,53,14,0,2
16/08/2015,51,15,0,2
23/08/2015,51,14,0,2
30/08/2015,50,16,0,2
06/09/2015,49,17,0,2
13/09/2015,47,13,0,2
20/09/2015,44,13,0,2
27/09/2015,46,14,0,2
04/10/2015,44,14,0,2
11/10/2015,42,13,0,2
18/10/2015,46,12,0,2
25/10/2015,42,11,0,2
01/11/2015,38,12,0,2
08/11/2015,40,10,0,1
15/11/2015,42,11,0,2
22/11/2015,41,10,0,2
29/11/2015,55,11,0,2
06/12/2015,67,14,0,3
13/12/2015,53,11,0,2
20/12/2015,49,15,0,2
27/12/2015,62,20,0,2
03/01/2016,49,19,0,3
10/01/2016,40,15,0,2
17/01/2016,38,14,0,3
24/01/2016,39,12,0,2
31/01/2016,35,11,0,2
07/02/2016,36,13,0,3
14/02/2016,36,15,0,3
21/02/2016,49,17,0,2
28/02/2016,49,14,0,3
06/03/2016,45,14,0,3
13/03/2016,38,12,0,2
20/03/2016,38,15,0,2
27/03/2016,45,20,0,2
03/04/2016,37,16,0,2
10/04/2016,36,12,0,2
17/04/2016,35,15,0,2
24/04/2016,41,15,0,2
01/05/2016,39,14,0,2
08/05/2016,36,12,0,2
15/05/2016,34,12,0,2
22/05/2016,34,10,0,2
29/05/2016,46,14,0,2
05/06/2016,53,10,0,1
12/06/2016,50,10,0,2
19/06/2016,51,10,0,2
26/06/2016,49,13,0,2
03/07/2016,46,13,0,2
10/07/2016,43,13,0,2
17/07/2016,46,13,0,2
24/07/2016,42,15,0,2
31/07/2016,44,14,0,2
07/08/2016,47,14,0,2
14/08/2016,53,16,0,2
21/08/2016,42,11,0,2
28/08/2016,43,12,0,1
04/09/2016,49,13,0,2
11/09/2016,39,11,0,2
18/09/2016,40,11,0,2
25/09/2016,40,12,0,2
02/10/2016,42,11,0,2
09/10/2016,44,11,0,3
16/10/2016,41,11,0,3
23/10/2016,42,13,0,2
30/10/2016,50,15,0,2
06/11/2016,57,12,0,2
13/11/2016,45,11,0,3
20/11/2016,44,13,0,3
27/11/2016,45,12,0,2
04/12/2016,52,12,0,3
11/12/2016,42,12,0,3
18/12/2016,42,11,0,2
25/12/2016,60,15,0,2
01/01/2017,78,23,0,2
08/01/2017,57,18,0,2
15/01/2017,57,15,0,2
22/01/2017,51,14,0,2
29/01/2017,47,13,0,2
05/02/2017,44,14,0,2
12/02/2017,45,17,0,3
