"","media_grouped","year","investment","n","date_from","date_to","max","min","average.inv"
"1","internet","2015",2553505.09,3515,2015-01-01,2015-12-31,40000,16.26,726.459485064011
"2","internet","2016",2365210.7,2042,2016-01-01,2016-12-25,50000,2.85,1158.28143976494
"3","internet","2017",1274119.22,1695,2017-01-01,2017-12-31,23083.73,45.29,751.692755162242
"4","print","2015",408865,107,2015-01-01,2015-12-31,34000,850,3821.16822429907
"5","print","2016",68171.36,11,2016-01-01,2016-12-05,17001.36,1700,6197.39636363636
"6","radio","2015",573951.4,1060,2015-03-01,2015-10-08,43250,44.51,541.46358490566
"7","radio","2016",553019.24,2617,2016-04-01,2016-12-02,1768,22.67,211.318012991976
"8","radio","2017",33072.66,174,2017-01-23,2017-02-04,499.74,57.27,190.07275862069
"9","special","2015",310100.94,177,2015-03-16,2015-12-22,80000,449.64,1751.98271186441
"10","special","2016",232612.52,25,2016-01-01,2016-12-02,32000,555.55,9304.5008
"11","special","2017",634460.2,38,2017-01-04,2017-03-03,20000,2500,16696.3210526316
"12","tv","2015",18546502.73,97290,2015-01-02,2015-12-31,46861.35,0.16,190.63113094871
"13","tv","2016",18129781.68,101352,2016-01-01,2016-12-31,38387.15,0.23,178.879367748046
"14","tv","2017",2290378.85,15232,2017-01-01,2017-03-10,42840,0.36,150.366258534664
