"","weekday","name","date_full2"
"1","Thursday","New Year's Day","2015-01-01"
"2","Tuesday","Epiphany","2015-01-06"
"3","Sunday","Easter Day","2015-04-05"
"4","Monday","Easter Monday","2015-04-06"
"5","Saturday","Liberation Day","2015-04-25"
"6","Friday","Labor Day / May Day","2015-05-01"
"7","Tuesday","Republic Day","2015-06-02"
"8","Saturday","Assumption of Mary / Ferragosto","2015-08-15"
"9","Sunday","All Saints' Day","2015-11-01"
"10","Tuesday","Feast of the Immaculate Conception","2015-12-08"
"11","Friday","Christmas Day","2015-12-25"
"12","Saturday","St. Stephen's Day","2015-12-26"
"13","Friday","New Year's Day","2016-01-01"
"14","Wednesday","Epiphany","2016-01-06"
"15","Sunday","Easter Day","2016-03-27"
"16","Monday","Easter Monday","2016-03-28"
"17","Monday","Liberation Day","2016-04-25"
"18","Sunday","Labor Day / May Day","2016-05-01"
"19","Thursday","Republic Day","2016-06-02"
"20","Monday","Assumption of Mary / Ferragosto","2016-08-15"
"21","Tuesday","All Saints' Day","2016-11-01"
"22","Thursday","Feast of the Immaculate Conception","2016-12-08"
"23","Sunday","Christmas Day","2016-12-25"
"24","Monday","St. Stephen's Day","2016-12-26"
"25","Sunday","New Year's Day","2017-01-01"
"26","Friday","Epiphany","2017-01-06"
"27","Sunday","Easter Day","2017-04-16"
"28","Monday","Easter Monday","2017-04-17"
"29","Tuesday","Liberation Day","2017-04-25"
"30","Monday","Labor Day / May Day","2017-05-01"
"31","Friday","Republic Day","2017-06-02"
"32","Tuesday","Assumption of Mary / Ferragosto","2017-08-15"
"33","Wednesday","All Saints' Day","2017-11-01"
"34","Friday","Feast of the Immaculate Conception","2017-12-08"
"35","Monday","Christmas Day","2017-12-25"
"36","Tuesday","St. Stephen's Day","2017-12-26"
