"","BUSINESS_DATE","sales","visits","weekday","print_inv","internet_inv","tv_inv","radio_inv","special_inv","trend"
"1","2015-05-15",2263414.5,323132,"Friday",28.33,0,8564.61,0,0,1
"2","2015-05-16",3198848.22,428224,"Saturday",28.33,0,8470.65,0,0,2
"3","2015-05-17",2652109.29,346900,"Sunday",28.33,0,598.47,0,0,3
"4","2015-05-18",1571493.48,248765,"Monday",28.33,2570.7,0,0,0,4
"5","2015-05-19",1604789.75,252006,"Tuesday",28.33,0,0,0,0,5
"6","2015-05-20",1741078.8,261276,"Wednesday",28.33,0,0,0,0,6
"7","2015-05-21",1842485.61,272067,"Thursday",28.33,0,0,0,0,7
"8","2015-05-22",2337235.58,328838,"Friday",28.33,0,139846.67,0,0,8
"9","2015-05-23",3329547.02,432912,"Saturday",28.33,0,122886.82,0,0,9
"10","2015-05-24",2900727.07,362488,"Sunday",28.33,0,70730.73,0,0,10
"11","2015-05-25",1714534.05,256064,"Monday",28.33,5280.9,92826.65,0,0,11
"12","2015-05-26",1764493.83,262043,"Tuesday",696.19,8042.38,63082.85,0,0,12
"13","2015-05-27",1851841.28,271253,"Wednesday",2214.05,19142.39,72064.23,0,0,13
"14","2015-05-28",1973086.05,288867,"Thursday",5128.34,8642.37,97823.28,0,0,14
"15","2015-05-29",2398711.7,337308,"Friday",3033.7,15642.97,85421.39,0,0,15
"16","2015-05-30",3133487.56,413036,"Saturday",4247.98,6642.37,68833.95,0,0,16
"17","2015-05-31",2806835.03,355978,"Sunday",4219.65,8217.37,65237.06,0,0,17
"18","2015-06-01",2520219.56,334772,"Monday",4219.65,50878.82,72810.43,42500,10000,18
"19","2015-06-02",2779862.13,344845,"Tuesday",3551.79,3790.82,57574.61,0,0,19
"20","2015-06-03",1643371.94,257967,"Wednesday",2033.93,8790.82,76388.75,0,0,20
"21","2015-06-04",1805133.03,276989,"Thursday",1669.64,3790.82,53183.28,0,0,21
"22","2015-06-05",2222026.13,330876,"Friday",1214.28,4458.01,81765.83,0,0,22
"23","2015-06-06",2701906.27,376848,"Saturday",2433.85948979592,3009.57,107965.79,0,0,23
"24","2015-06-07",2591297.64,339633,"Sunday",2433.85948979592,3009.57,49840.48,0,0,24
"25","2015-06-08",2033045.38,307721,"Monday",2433.85948979592,334.76,4555.92,0,0,25
"26","2015-06-09",1902668.7,284607,"Tuesday",2433.85948979592,312.94,4535.53,0,0,26
"27","2015-06-10",2082660.79,302623,"Wednesday",2433.85948979592,5991.03,4902.18,0,0,27
"28","2015-06-11",2115439.76,307411,"Thursday",2433.85948979592,10991.04,4700.61,0,0,28
"29","2015-06-12",2450839.35,337222,"Friday",2433.85948979592,5657.69,161223.87,0,0,29
"30","2015-06-13",3144462.65,407715,"Saturday",2433.85948979592,3814.47,66185.86,0,0,30
"31","2015-06-14",3061493.33,371740,"Sunday",2433.85948979592,2991.03,73087.96,0,0,31
"32","2015-06-15",2038896.55,291115,"Monday",2433.85948979592,6263.38,53700.01,0,0,32
"33","2015-06-16",2066238.08,293709,"Tuesday",100,11263.37,67576.21,0,0,33
"34","2015-06-17",2203636.3,308485,"Wednesday",100,24936.82,80612.92,0,0,34
"35","2015-06-18",2184342.68,306708,"Thursday",100,5436.82,83005.32,0,0,35
"36","2015-06-19",2454233.9,336792,"Friday",100,10436.82,55304.93,0,0,36
