"","BUSINESS_DATE","sales","visits","weekday","NET_COST","FORMAT.15 secondi","FORMAT.20 secondi","FORMAT.30 secondi","NETWORK.Area News-Radio Margherita-Kiss Kiss Italia","NETWORK.CNR Radio FM","NETWORK.R101","NETWORK.Radio 105 Network","NETWORK.Radio Deejay Network","NETWORK.Radio Dimensione Suono Network","NETWORK.Radio Italia Solo Musica Italiana","NETWORK.Radio Kiss Kiss Network","NETWORK.Radio Sportiva","NETWORK.Radiodue","NETWORK.Radiouno","NETWORK.RTL 102.5 Hit Radio","NETWORK.Teamradio University","NETWORK.Virgin Radio","trend"
"1","2015-05-15",2263414.5,323132,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2","2015-05-16",3198848.22,428224,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3","2015-05-17",2652109.29,346900,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4","2015-05-18",1571493.48,248765,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5","2015-05-19",1604789.75,252006,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6","2015-05-20",1741078.8,261276,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"7","2015-05-21",1842485.61,272067,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"8","2015-05-22",2337235.58,328838,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"9","2015-05-23",3329547.02,432912,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"10","2015-05-24",2900727.07,362488,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"11","2015-05-25",1714534.05,256064,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"12","2015-05-26",1764493.83,262043,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"13","2015-05-27",1851841.28,271253,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"14","2015-05-28",1973086.05,288867,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"15","2015-05-29",2398711.7,337308,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"16","2015-05-30",3133487.56,413036,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"17","2015-05-31",2806835.03,355978,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"18","2015-06-01",2520219.56,334772,"Monday",42500,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
"19","2015-06-02",2779862.13,344845,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"20","2015-06-03",1643371.94,257967,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"21","2015-06-04",1805133.03,276989,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"22","2015-06-05",2222026.13,330876,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"23","2015-06-06",2701906.27,376848,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"24","2015-06-07",2591297.64,339633,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"25","2015-06-08",2033045.38,307721,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"26","2015-06-09",1902668.7,284607,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"27","2015-06-10",2082660.79,302623,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"28","2015-06-11",2115439.76,307411,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"29","2015-06-12",2450839.35,337222,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"30","2015-06-13",3144462.65,407715,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"31","2015-06-14",3061493.33,371740,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"32","2015-06-15",2038896.55,291115,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"33","2015-06-16",2066238.08,293709,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"34","2015-06-17",2203636.3,308485,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"35","2015-06-18",2184342.68,306708,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"36","2015-06-19",2454233.9,336792,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"37","2015-06-20",3099976.76,397556,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"38","2015-06-21",2740950.15,344449,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"39","2015-06-22",1950436.22,281972,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"40","2015-06-23",2007594.05,288679,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"41","2015-06-24",2122284.59,298329,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"42","2015-06-25",2094289.28,297804,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"43","2015-06-26",2372084.95,329855,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"44","2015-06-27",2896319.1,381731,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"45","2015-06-28",2602530.42,334343,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"46","2015-06-29",2019773.05,287040,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"47","2015-06-30",1951591.25,284851,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"48","2015-07-01",1972536.79,288585,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"49","2015-07-02",1985006.42,292531,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"50","2015-07-03",2265625.61,326224,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"51","2015-07-04",2984932.21,407409,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"52","2015-07-05",2665750.56,355819,"Sunday",42500,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52
"53","2015-07-06",1981921.96,298843,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"54","2015-07-07",1979114.19,299306,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"55","2015-07-08",2062678.54,302916,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"56","2015-07-09",2168955.38,312742,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"57","2015-07-10",2410896.74,340477,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"58","2015-07-11",2913534.57,393113,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"59","2015-07-12",2685937.52,350585,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"60","2015-07-13",2038089.08,299910,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"61","2015-07-14",2005070.09,298649,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"62","2015-07-15",2124351.03,310957,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"63","2015-07-16",2151986.47,317348,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"64","2015-07-17",2452802.2,353316,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"65","2015-07-18",2928130.48,398741,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"66","2015-07-19",2730389.84,359671,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"67","2015-07-20",2042866.83,304602,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
"68","2015-07-21",2050909.81,307396,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"69","2015-07-22",2123423,314103,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"70","2015-07-23",2169603.11,317158,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"71","2015-07-24",2448152.84,342454,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"72","2015-07-25",3001481.15,397681,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"73","2015-07-26",2754305.73,356409,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"74","2015-07-27",2048771.22,299121,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"75","2015-07-28",2039771.33,298721,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"76","2015-07-29",2125412.98,304611,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"77","2015-07-30",2239638.4,314893,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"78","2015-07-31",2552005.51,348912,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"79","2015-08-01",3142684.6,400027,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"80","2015-08-02",2811498.18,360242,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
