"","BUSINESS_DATE","sales","visits","weekday","15 secondi_R101","15 secondi_Radio 105 Network","15 secondi_Radio Deejay Network","15 secondi_Radio Dimensione Suono Network","15 secondi_Radio Italia Solo Musica Italiana","15 secondi_Radio Kiss Kiss Network","15 secondi_Virgin Radio","20 secondi_Area News-Radio Margherita-Kiss Kiss Italia","20 secondi_CNR Radio FM","20 secondi_R101","20 secondi_Radio 105 Network","20 secondi_Radio Deejay Network","20 secondi_Radio Dimensione Suono Network","20 secondi_Radio Italia Solo Musica Italiana","20 secondi_Radio Kiss Kiss Network","20 secondi_Radio Sportiva","20 secondi_Radiodue","20 secondi_Radiouno","20 secondi_RTL 102.5 Hit Radio","20 secondi_Teamradio University","20 secondi_Virgin Radio","30 secondi_Radio 105 Network","trend","sales_per_visit"
"1","2015-05-15",2263414.5,323132,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.00461266603122
"2","2015-05-16",3198848.22,428224,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.47003488828277
"3","2015-05-17",2652109.29,346900,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.64516947247045
"4","2015-05-18",1571493.48,248765,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.317180793118
"5","2015-05-19",1604789.75,252006,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.36806167313477
"6","2015-05-20",1741078.8,261276,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.6637532724016
"7","2015-05-21",1842485.61,272067,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.77217600811565
"8","2015-05-22",2337235.58,328838,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7.10755928451091
"9","2015-05-23",3329547.02,432912,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7.69104811139446
"10","2015-05-24",2900727.07,362488,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.00227061309616
"11","2015-05-25",1714534.05,256064,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6.69572470163709
"12","2015-05-26",1764493.83,262043,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.73360414130505
"13","2015-05-27",1851841.28,271253,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6.82698912085765
"14","2015-05-28",1973086.05,288867,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6.83043078648651
"15","2015-05-29",2398711.7,337308,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7.11133948794574
"16","2015-05-30",3133487.56,413036,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7.58647565829613
"17","2015-05-31",2806835.03,355978,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7.88485532813826
"18","2015-06-01",2520219.56,334772,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,18,7.52816711075
"19","2015-06-02",2779862.13,344845,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8.06119308674912
"20","2015-06-03",1643371.94,257967,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6.37047351017766
"21","2015-06-04",1805133.03,276989,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6.5169845372921
"22","2015-06-05",2222026.13,330876,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6.71558568768965
"23","2015-06-06",2701906.27,376848,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7.16975085445591
"24","2015-06-07",2591297.64,339633,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7.62969923417336
"25","2015-06-08",2033045.38,307721,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6.6067814026342
"26","2015-06-09",1902668.7,284607,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6.685249133015
"27","2015-06-10",2082660.79,302623,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,6.88203074452371
"28","2015-06-11",2115439.76,307411,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6.88147060450016
"29","2015-06-12",2450839.35,337222,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7.26773268054872
"30","2015-06-13",3144462.65,407715,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7.71240363979741
"31","2015-06-14",3061493.33,371740,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8.23557682789046
"32","2015-06-15",2038896.55,291115,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7.00374954914724
"33","2015-06-16",2066238.08,293709,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7.03498387860093
"34","2015-06-17",2203636.3,308485,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7.14341475274324
"35","2015-06-18",2184342.68,306708,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,7.12189665740705
"36","2015-06-19",2454233.9,336792,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7.28709084538825
"37","2015-06-20",3099976.76,397556,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7.7975851452374
"38","2015-06-21",2740950.15,344449,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,7.95749196542884
"39","2015-06-22",1950436.22,281972,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6.9171273034202
"40","2015-06-23",2007594.05,288679,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6.95441667041939
"41","2015-06-24",2122284.59,298329,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,7.11390642545646
"42","2015-06-25",2094289.28,297804,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,7.03244174020497
"43","2015-06-26",2372084.95,329855,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,7.19129602401055
"44","2015-06-27",2896319.1,381731,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7.58733008322615
"45","2015-06-28",2602530.42,334343,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7.78401348315951
"46","2015-06-29",2019773.05,287040,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7.03655605490524
"47","2015-06-30",1951591.25,284851,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6.85127048878185
"48","2015-07-01",1972536.79,288585,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6.83520207217977
"49","2015-07-02",1985006.42,292531,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,6.78562757451347
"50","2015-07-03",2265625.61,326224,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6.94499978542351
"51","2015-07-04",2984932.21,407409,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,7.32662314774588
"52","2015-07-05",2665750.56,355819,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,52,7.49187244076342
"53","2015-07-06",1981921.96,298843,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6.63198388451461
"54","2015-07-07",1979114.19,299306,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6.61234385545228
"55","2015-07-08",2062678.54,302916,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,6.80940769058089
"56","2015-07-09",2168955.38,312742,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6.93528653011108
"57","2015-07-10",2410896.74,340477,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7.08093862434173
"58","2015-07-11",2913534.57,393113,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7.41144294388636
"59","2015-07-12",2685937.52,350585,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7.66130188114152
"60","2015-07-13",2038089.08,299910,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6.79566896735687
"61","2015-07-14",2005070.09,298649,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6.71380145254128
"62","2015-07-15",2124351.03,310957,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,6.83165527709619
"63","2015-07-16",2151986.47,317348,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,6.7811565536887
"64","2015-07-17",2452802.2,353316,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,6.94223358127002
"65","2015-07-18",2928130.48,398741,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,7.34343967638141
"66","2015-07-19",2730389.84,359671,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,7.59135387618129
"67","2015-07-20",2042866.83,304602,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,6.70667569484114
"68","2015-07-21",2050909.81,307396,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6.6718819047743
"69","2015-07-22",2123423,314103,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6.76027608778012
"70","2015-07-23",2169603.11,317158,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6.84076425630128
"71","2015-07-24",2448152.84,342454,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7.14885164138833
"72","2015-07-25",3001481.15,397681,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,7.54745927011851
"73","2015-07-26",2754305.73,356409,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7.72793540567157
"74","2015-07-27",2048771.22,299121,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,6.84930586618793
"75","2015-07-28",2039771.33,298721,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6.82834929583123
"76","2015-07-29",2125412.98,304611,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,6.97746627666105
"77","2015-07-30",2239638.4,314893,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7.11237912560775
"78","2015-07-31",2552005.51,348912,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,7.31418096826707
"79","2015-08-01",3142684.6,400027,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,7.85618120776848
"80","2015-08-02",2811498.18,360242,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,7.80447082794344
"81","2015-08-03",2107780.91,301335,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,81,6.99480946454942
"82","2015-08-04",2107150.17,300898,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,7.00287196990342
"83","2015-08-05",2140872.96,304979,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7.01973893284456
"84","2015-08-06",2196386.51,310670,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,7.0698378021695
"85","2015-08-07",2418219.72,336200,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,7.1928010707912
"86","2015-08-08",2781961.52,369443,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7.53015084871009
"87","2015-08-09",2602773.62,337843,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,7.70409219667124
"88","2015-08-10",2464672.28,315396,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,7.81453246077946
"89","2015-08-11",2380640.01,311184,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,7.65026482724047
"90","2015-08-12",2301746.4,307201,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,7.4926396723969
"91","2015-08-13",2230995.3,304008,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,7.33860720770506
"92","2015-08-14",2460008.75,326369,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,7.5375073919398
"93","2015-08-15",2251317.63,288312,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,7.80861577041538
"94","2015-08-16",3194853.46,374433,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,8.5325103823648
"95","2015-08-17",2381507.82,311701,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,7.64035989618256
"96","2015-08-18",2201246.47,295444,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,7.45063859817766
"97","2015-08-19",2445403.07,315458,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,7.75191331334124
"98","2015-08-20",2157421.53,296196,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,7.28376321759916
"99","2015-08-21",2300600.92,313925,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,7.32850496137613
"100","2015-08-22",2572543.64,345375,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7.44855197973218
"101","2015-08-23",2517698.94,325949,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,7.72421127231561
"102","2015-08-24",2190942.71,298400,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,7.34230130697051
"103","2015-08-25",2017139.87,290507,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,6.9435155435153
"104","2015-08-26",1971085.19,285865,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,6.8951609675896
"105","2015-08-27",2114482.7,300033,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,7.04750044161809
"106","2015-08-28",2362329.2,330403,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,7.14984185978941
"107","2015-08-29",2849378.85,381499,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,7.46890253971832
"108","2015-08-30",2690080.27,350410,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,7.67695062926286
"109","2015-08-31",2169109.38,307976,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,7.04311173597943
"110","2015-09-01",2173661.38,311042,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,6.98832112705037
"111","2015-09-02",2277501.3,322331,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,7.0657221924047
"112","2015-09-03",2311591.21,328476,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,7.03732147858595
"113","2015-09-04",2639550.44,363187,"Friday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,7.26774482566832
"114","2015-09-05",3349079.04,432006,"Saturday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,7.75239010569298
"115","2015-09-06",3067420.89,387799,"Sunday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42500,115,7.90982155704373
"116","2015-09-07",2214567.62,320709,"Monday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,6.90522442463417
"117","2015-09-08",2256610.46,324578,"Tuesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,6.95244428149782
"118","2015-09-09",2288193.19,322560,"Wednesday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,7.09385289558532
"119","2015-09-10",2413817.44,340910,"Thursday",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7.08051227596726
"120","2015-09-11",2773855.63,380657,"Friday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,120,7.28702120281513
"121","2015-09-12",3364700.13,436067,"Saturday",0,0,0,0,0,0,0,0,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,0,2408.36,0,612.78,0,121,7.71601641490872
"122","2015-09-13",3023011.45,380951,"Sunday",0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,224.4,2408.36,0,612.78,0,122,7.93543382219761
"123","2015-09-14",2202870.51,318068,"Monday",0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,397.8,2408.36,0,612.78,0,123,6.92578476929462
"124","2015-09-15",2010627.92,300993,"Tuesday",0,0,0,0,0,0,0,552.48,0,632.1,1223.19,0,1720.27,1541.89,528.25,0,0,397.8,2408.36,0,612.78,0,124,6.67998232517035
