,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,log.p,log.q,average_Price,threshold1,promo,ad,baseline,weekly_lift,total_lift
1,S,11/2/14,35064.4,242954.5,2.2,91,30086.6,222086,0,1,6.928808136,1.935687812,10.46494165,6.737172429,6.44861237,0,0,,,
2,S,11/9/14,35775.2,250015.7,2.2,92,30475,228204.3,0,2,6.98851998,1.9442688,10.48501019,6.737172429,6.44861237,0,0,,,
3,S,11/16/14,34925,242358.4,2.2,91,29423.5,219335.6,0,3,6.939395848,1.937214717,10.46095818,6.737172429,6.44861237,0,0,,,
4,S,11/23/14,41085.1,271112.5,2.2,91,28953.2,215737.3,0,4,6.598803459,1.886888339,10.6234008,6.737172429,6.44861237,0,0,,,
5,S,11/30/14,50011.8,313659.2,2.2,92,28954.5,214824.3,0,5,6.271703878,1.836048069,10.82001426,6.737172429,6.44861237,1,0,38253.545,11758.255,11758.255
6,S,12/7/14,44928.4,293300.4,2.2,92,29396.7,219123.6,0,6,6.528173716,1.876127228,10.71282539,6.737172429,6.44861237,0,0,,,
7,S,12/14/14,33715.1,232923.1,2.1,92,26432.3,196824.5,0,7,6.908569157,1.932762548,10.42570109,6.737172429,6.44861237,0,0,,,
8,S,12/21/14,30825,209874.2,2.1,91,24516.3,182283.6,0,8,6.808570965,1.918182255,10.33608133,6.737172429,6.44861237,0,0,,,
9,S,12/28/14,21272.2,142632.5,2,88,16427.3,122073.7,0,9,6.705112776,1.902870336,9.965156335,6.737172429,6.44861237,0,0,,,
10,S,1/4/15,27045.8,180629.2,2,90,20642.3,153105.7,0,10,6.678641416,1.898914586,10.205287,6.737172429,6.44861237,0,0,,,
11,S,1/11/15,46363.5,294406,2.2,93,30063.3,223939,0,11,6.34995201,1.848447255,10.74426779,6.737172429,6.44861237,1,0,36512.3625,9851.1375,57945.0875
