,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,log.p,log.q,average_Price,threshold1,promo,ad,baseline,weekly_lift,total_lift
1,S,11/2/14,35946.5,193153.8,2.1,89,26695.7,158726.3,0,1,5.373368756,1.681455041,10.489787,5.310704406,5.078702577,1,0,29581.88562,6364.614381,29816.07771
2,S,11/9/14,42273.7,223800.2,2.2,89,29489,175390.7,0,2,5.294076459,1.666588546,10.65192042,5.310704406,5.078702577,1,0,34740.61857,7533.081427,
3,S,11/16/14,42996.2,224619.1,2.2,89,27975.6,165925.4,0,3,5.22416167,1.653294339,10.66886702,5.310704406,5.078702577,1,0,35223.52505,7772.674951,
4,S,11/23/14,38292.8,203351.3,2.1,89,27833.7,165290.7,173.03,4,5.310431726,1.669673136,10.55301717,5.310704406,5.078702577,1,1,30147.09305,8145.706951,
5,S,11/30/14,35906.7,194896.7,2.1,89,27668.9,165083.9,0,5,5.427864438,1.691545767,10.48867919,5.310704406,5.078702577,0,0,29502.50979,,
6,S,12/7/14,31746.4,177645.8,2.1,89,26828,160513.8,0,6,5.595777789,1.722012347,10.36553461,5.310704406,5.078702577,0,0,28554.12529,,
7,S,12/14/14,27209.8,155977.1,2.1,89,24780.8,148409.1,0,7,5.732386861,1.746131999,10.21133248,5.310704406,5.078702577,0,0,27794.13537,,
8,S,12/21/14,24044.9,137999.5,2.1,89,22074.1,131975.7,0,8,5.739242001,1.747327146,10.08767819,5.310704406,5.078702577,0,0,27815.0271,,
9,S,12/28/14,15044.5,86329,2,84,13776.1,82126.4,0,9,5.738243212,1.747153103,9.618767755,5.310704406,5.078702577,0,0,16004.22558,,
10,S,1/4/15,23369.5,124581.3,2,86,16890.7,100784.7,0,10,5.330935621,1.673526761,10.05918703,5.310704406,5.078702577,0,0,21421.44785,,
11,S,1/11/15,37700.6,198182.4,2.1,89,26210.4,156191.5,0,11,5.256743924,1.659511809,10.53743129,5.310704406,5.078702577,1,0,30905.22564,6795.374356,63043.3528
12,S,1/18/15,39963.1,208360.4,2.2,89,27164.7,161873.7,139.73,12,5.213819749,1.651312744,10.59571181,5.310704406,5.078702577,1,1,35845.08894,4118.011062,
13,S,1/25/15,45010.6,228266.4,2.2,90,27521,164291.2,148.34,13,5.071392072,1.62361535,10.7146533,5.310704406,5.078702577,1,1,38216.30426,6794.295743,
14,S,2/1/15,38072.4,200080.3,2.1,90,27827.2,164254.8,0,14,5.255258402,1.659229176,10.54724489,5.310704406,5.078702577,1,0,32552.52096,5519.879042,
15,S,2/8/15,39832.5,210602.5,2.2,90,28035.7,166903.2,0,15,5.287202661,1.665289308,10.59243844,5.310704406,5.078702577,1,0,37041.81303,2790.686966,
16,S,2/15/15,43110.2,219732.9,2.1,90,27112,160753.5,130,16,5.097004885,1.62865309,10.67151491,5.310704406,5.078702577,1,1,33629.21237,9480.987627,
17,S,2/22/15,52755.4,255451,2.1,89,26788.2,157559.9,0,17,4.842177294,1.577364474,10.87342142,5.310704406,5.078702577,1,0,33773.04244,18982.35756,
18,S,3/1/15,39602,210151.8,2.1,89,27943.5,164824.8,0,18,5.306595626,1.668950505,10.5866349,5.310704406,5.078702577,1,0,31040.23956,8561.760442,
19,S,3/8/15,33358.9,187214.3,2.1,90,28224,167634.6,0,19,5.612124501,1.724929347,10.41507988,5.310704406,5.078702577,0,0,30715.5747,,
20,S,3/15/15,33704.8,188350.2,2.1,90,28854.3,171179.5,129,20,5.588230756,1.720662736,10.42539554,5.310704406,5.078702577,0,1,30921.51855,,
21,S,3/22/15,31917.3,179477.9,2.1,89,27886.4,165414.9,0,21,5.623216876,1.726903898,10.37090346,5.310704406,5.078702577,0,0,29321.19946,,
22,S,3/29/15,29323.2,167289.4,2.1,89,26988.5,159480,0,22,5.705018552,1.741346235,10.28613429,5.310704406,5.078702577,0,0,28891.04995,,
23,S,4/5/15,26200.3,148051.7,2.1,88,22680.8,135020.4,0,23,5.650763541,1.731790676,10.17352614,5.310704406,5.078702577,0,0,27827.79946,,
24,S,4/12/15,52465,253284.6,2.1,89,25727.1,152868.3,0,24,4.827687029,1.574367477,10.86790156,5.310704406,5.078702577,1,0,34295.27746,18169.72254,34926.71764
25,S,4/19/15,43278.5,221231.7,2.1,89,27880,165186.6,0,25,5.111815336,1.631554593,10.67541125,5.310704406,5.078702577,1,0,32647.49121,10631.00879,
26,S,4/26/15,39702,206812.1,2.1,90,26763.3,158360.7,78.35,26,5.209110372,1.650409087,10.58915684,5.310704406,5.078702577,1,1,33576.01369,6125.986313,
27,S,5/3/15,32714.2,179048.8,2.1,89,26242.8,155325.5,71.55,27,5.473121764,1.69984916,10.39556451,5.310704406,5.078702577,0,1,30597.38081,,
28,S,5/10/15,30688.3,170807,2.1,90,25390.9,150824.7,40.95,28,5.565867122,1.71665279,10.33163675,5.310704406,5.078702577,0,1,31553.28404,,
