,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,week_Number,price,log.p,log.q,average_Price,threshold1,promo,baseline,weekly_lift,total_lift
1,S,11/2/14,111769.6,289252.1,1.9,93,76892.1,220991.8,1,2.587931781,0.950859017,11.62419489,2.663221516,2.568752709,0,98291.46703,,
2,S,11/9/14,118136.8,314770.8,1.9,95,85183.8,244596.7,2,2.664460185,0.98000148,11.67959855,2.663221516,2.568752709,0,99014.8426,,
3,S,11/16/14,110806.7,297454.3,1.9,95,83536.3,239045.8,3,2.684443269,0.987473358,11.61554252,2.663221516,2.568752709,0,96950.9483,,
4,S,11/23/14,116291.4,310084.2,1.9,95,83722.4,239513.6,4,2.666441371,0.980744763,11.66385439,2.663221516,2.568752709,0,98662.26036,,
5,S,11/30/14,104012.6,281186.8,1.9,95,79424.5,228367.8,5,2.703391704,0.994507172,11.55226732,2.663221516,2.568752709,0,94912.04519,,
6,S,12/7/14,98725.7,269432.1,1.9,96,78215.6,225749.4,6,2.729097894,1.003971113,11.50010058,2.663221516,2.568752709,0,96482.91412,,
7,S,12/14/14,89188.8,243951.4,1.9,95,72141.2,208905.9,7,2.735224602,1.006213554,11.39851075,2.663221516,2.568752709,0,91592.59642,,
8,S,12/21/14,82188,227953.4,1.9,95,68513.5,199932.8,8,2.773560617,1.020131916,11.31676458,2.663221516,2.568752709,0,87704.66283,,
9,S,12/28/14,59531.1,165343.4,1.8,94,51388.1,150262.6,9,2.777428941,1.021525658,10.99425414,2.663221516,2.568752709,0,69367.99599,,
10,S,1/4/15,79058.8,213929,1.9,94,60647.7,176724.2,10,2.705947978,0.995452305,11.27794716,2.663221516,2.568752709,0,90065.22448,,
11,S,1/11/15,110966.9,300384.4,1.9,95,82984.9,240270,11,2.70697298,0.995831029,11.61698724,2.663221516,2.568752709,0,94089.07798,,
12,S,1/18/15,100879.2,277242.5,1.9,95,80810.9,233242.6,12,2.748262278,1.010968813,11.52167904,2.663221516,2.568752709,1,89907.62702,10971.57298,30925.7503
13,S,1/25/15,93431.3,254936.5,1.9,95,77766,223994.8,13,2.728598446,1.003788088,11.44498169,2.663221516,2.568752709,1,91784.11332,1647.186677,
14,S,2/1/15,105568,286618.7,1.9,96,78533,226757.8,14,2.715014967,0.998797466,11.56711057,2.663221516,2.568752709,1,97259.85726,8308.142738,
15,S,2/8/15,99270.6,273116.3,1.9,95,80988.9,231980.2,15,2.751230475,1.012048257,11.50560473,2.663221516,2.568752709,1,89379.10957,9891.490431,
16,S,2/15/15,80258.6,225159.1,1.9,95,73995,212897.4,16,2.805420229,1.031553342,11.2930092,2.663221516,2.568752709,1,83915.52339,-3656.923388,
17,S,2/22/15,91257.4,240153.9,1.9,95,73643.2,211247.3,17,2.631610149,0.967595883,11.42143936,2.663221516,2.568752709,1,101112.1139,-9854.713934,
18,S,3/1/15,106398.8,277120.3,1.9,96,76808.8,220505.6,18,2.604543472,0.957257409,11.57494958,2.663221516,2.568752709,1,107927.9099,-1529.109853,
19,S,3/8/15,95596.9,260278.9,1.9,95,75348.5,218287.7,19,2.722670923,1.001613356,11.46789567,2.663221516,2.568752709,1,91906.19529,3690.704713,
20,S,3/15/15,114939,303789.1,1.9,96,81228,230820,20,2.643046312,0.971932158,11.65215683,2.663221516,2.568752709,1,103945.5569,10993.44314,
21,S,3/22/15,101616.8,274638.9,1.9,96,79715.7,226062.8,21,2.702691878,0.994248268,11.52896415,2.663221516,2.568752709,1,97939.7349,3677.065104,
22,S,3/29/15,89179.4,245932.1,1.9,96,77402.9,220703.9,22,2.757723196,1.01440541,11.39840535,2.663221516,2.568752709,1,92392.50831,-3213.108311,
23,S,4/5/15,82451.5,227158.6,1.9,96,73139.3,209100.1,23,2.755057215,1.01343821,11.31996552,2.663221516,2.568752709,0,92579.63236,,
24,S,4/12/15,94202.4,254043.5,1.9,95,74187.8,212674.8,24,2.696783734,0.992059853,11.45320094,2.663221516,2.568752709,0,94089.8442,,
25,S,4/19/15,108781.3,290592.7,2,96,77895.6,223892.1,25,2.671347925,0.982583186,11.59709472,2.663221516,2.568752709,0,114414.3561,,
26,S,4/26/15,99205.3,265881.1,1.9,96,75149.3,215522.5,26,2.680109833,0.985857776,11.50494672,2.663221516,2.568752709,0,99794.896,,
27,S,5/3/15,92717.6,251279.3,1.9,95,74116.8,212304.1,27,2.710157511,0.997006755,11.43731359,2.663221516,2.568752709,0,92527.14934,,
28,S,5/10/15,92589.2,251505.2,1.9,96,74694.4,214660,28,2.716355687,0.999291161,11.43592778,2.663221516,2.568752709,0,96036.85753,,
