,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,GRP,week_Number,price,average_Price,threshold1,promo,baseline,weekly_lift,total_lift
1,S,11/2/14,35064.4,242954.5,2.2,91,30086.6,222086,0,1,6.928808136,6.737172429,6.44861237,0,,,
2,S,11/9/14,35775.2,250015.7,2.2,92,30475,228204.3,0,2,6.98851998,6.737172429,6.44861237,0,,,
3,S,11/16/14,34925,242358.4,2.2,91,29423.5,219335.6,0,3,6.939395848,6.737172429,6.44861237,0,,,
4,S,11/23/14,41085.1,271112.5,2.2,91,28953.2,215737.3,0,4,6.598803459,6.737172429,6.44861237,0,,,
5,S,11/30/14,50011.8,313659.2,2.2,92,28954.5,214824.3,0,5,6.271703878,6.737172429,6.44861237,0,,,
6,S,12/7/14,44928.4,293300.4,2.2,92,29396.7,219123.6,0,6,6.528173716,6.737172429,6.44861237,0,,,
7,S,12/14/14,33715.1,232923.1,2.1,92,26432.3,196824.5,0,7,6.908569157,6.737172429,6.44861237,0,,,
8,S,12/21/14,30825,209874.2,2.1,91,24516.3,182283.6,0,8,6.808570965,6.737172429,6.44861237,0,,,
9,S,12/28/14,21272.2,142632.5,2,88,16427.3,122073.7,0,9,6.705112776,6.737172429,6.44861237,0,,,
10,S,1/4/15,27045.8,180629.2,2,90,20642.3,153105.7,0,10,6.678641416,6.737172429,6.44861237,0,,,
11,S,1/11/15,46363.5,294406,2.2,93,30063.3,223939,0,11,6.34995201,6.737172429,6.44861237,0,,,
12,S,1/18/15,48826,307801.6,2.2,93,29459.1,217543.4,0,12,6.30405112,6.737172429,6.44861237,0,,,
13,S,1/25/15,50140.9,317715.5,2.2,93,28939.8,214000,0,13,6.336453873,6.737172429,6.44861237,0,,,
14,S,2/1/15,48038.7,307695.5,2.2,93,28769.6,213198.4,0,14,6.405158757,6.737172429,6.44861237,0,,,
15,S,2/8/15,47137.8,299151.9,2.2,93,30134.2,224167.3,0,15,6.346327151,6.737172429,6.44861237,0,,,
16,S,2/15/15,35886,243677.4,2.2,92,28516.5,212028.9,0,16,6.790319345,6.737172429,6.44861237,0,,,
17,S,2/22/15,34416.7,241597.5,2.2,92,29153.6,216065,0,17,7.019775284,6.737172429,6.44861237,0,,,
18,S,3/1/15,46215.3,301578.4,2.2,93,31952.5,238081.1,118.41,18,6.52550995,6.737172429,6.44861237,1,43795.465,-9378.765,23884.14
19,S,3/8/15,55160.4,337527.5,2.2,93,32685.2,243796.3,123.88,19,6.119018354,6.737172429,6.44861237,1,43795.465,2419.835,
20,S,3/15/15,63273.6,373014.3,2.2,93,32545.7,242037.1,0.05,20,5.895259634,6.737172429,6.44861237,1,43795.465,11364.935,
21,S,3/22/15,51405,323062.3,2.2,93,32356.8,240755.8,133.65,21,6.284647408,6.737172429,6.44861237,1,43795.465,19478.135,
22,S,3/29/15,42818.9,285671.9,2.2,93,31562.8,235252.8,0,22,6.671630985,6.737172429,6.44861237,0,,,
23,S,4/5/15,35314.4,237867.3,2.2,92,27376.4,203801.9,0,23,6.735702716,6.737172429,6.44861237,0,,,
24,S,4/12/15,55990.5,343213.5,2.2,93,29280,219669.5,0,24,6.129852386,6.737172429,6.44861237,0,,,
25,S,4/19/15,63041.5,398850.1,2.3,93,33732,251921,0,25,6.326786323,6.737172429,6.44861237,0,,,
26,S,4/26/15,58102,355563.2,2.3,93,32085.3,240471.1,0,26,6.119637878,6.737172429,6.44861237,0,,,
27,S,5/3/15,43057.2,285791.5,2.3,93,32019.7,241005.9,0,27,6.637484555,6.737172429,6.44861237,0,,,
28,S,5/10/15,41853.1,281802,2.3,93,31208.5,234624.5,0,28,6.733121322,6.737172429,6.44861237,0,,,
