,S,week,Volume,Value_Euros,Average_Number_SKUs,Average_Distribution,Volume_Baseline,Value_Baseline,week_Number,price,log.p,log.q,average_Price,threshold1,promo,baseline,weekly_lift,total_lift
1,S,11/2/14,4948.2,25805.1,1,31,4354.7,24128.8,1,5.215047896,1.651548273,8.506779153,5.504825765,5.368452898,1,3937.268,1010.932,1010.932
2,S,11/9/14,4542.1,25115.7,1,32,4508.3,25073.2,2,5.529534797,1.710103688,8.421144739,5.504825765,5.368452898,0,,,
3,S,11/16/14,4278.3,23683.1,1,32,4262.2,23730,3,5.535633312,1.711205979,8.361311013,5.504825765,5.368452898,0,,,
4,S,11/23/14,4227.7,23384,1,32,4221.9,23513,4,5.531139863,1.710393918,8.349413389,5.504825765,5.368452898,0,,,
5,S,11/30/14,4249.4,23515.9,1,31,4242.9,23580.5,5,5.533934202,1.710898992,8.354533075,5.504825765,5.368452898,0,,,
6,S,12/7/14,4225.3,23422.2,1,31,4220.1,23498.3,6,5.543322368,1.712594026,8.348845543,5.504825765,5.368452898,0,,,
7,S,12/14/14,3946.5,21810.7,1,31,3933.1,21856.3,7,5.526593184,1.709571565,8.280584389,5.504825765,5.368452898,0,,,
8,S,12/21/14,3593.5,19891.3,1,30,3587.1,19974.7,8,5.535355503,1.711155792,8.186881937,5.504825765,5.368452898,0,,,
9,S,12/28/14,2493.2,13815.9,1,27,2483.6,13847.4,9,5.541432697,1.712253077,7.821322305,5.504825765,5.368452898,0,,,
10,S,1/4/15,2920.8,16164.7,1,29,2913.1,16207.6,10,5.534339907,1.710972301,7.97961283,5.504825765,5.368452898,0,,,
11,S,1/11/15,4358.1,24102.5,1,31,4341.6,24224.9,11,5.530506413,1.710279387,8.379791462,5.504825765,5.368452898,0,,,
12,S,1/18/15,4518.2,24960.5,1,32,4496.4,24998.3,12,5.524434509,1.709180891,8.415868963,5.504825765,5.368452898,0,,,
13,S,1/25/15,4375.4,24202,1,32,4342.5,24257.5,13,5.531379988,1.71043733,8.383753223,5.504825765,5.368452898,0,,,
14,S,2/1/15,4425.8,24396.8,1,32,4357,24315.1,14,5.512404537,1.707000923,8.395206332,5.504825765,5.368452898,0,,,
15,S,2/8/15,4512.5,25000.9,1,32,4457.8,24967,15,5.540365651,1.712060501,8.414606603,5.504825765,5.368452898,0,,,
16,S,2/15/15,4344.7,24071.6,1,32,4322.6,24166.8,16,5.540451585,1.712076011,8.37671199,5.504825765,5.368452898,0,,,
17,S,2/22/15,5022.5,26148.8,1,32,4404.4,24597.4,17,5.206331508,1.649875483,8.521683097,5.504825765,5.368452898,1,3851.588889,1170.911111,16038.01111
18,S,3/1/15,5031.5,26296.9,1,32,4429.9,24700.2,18,5.226453344,1.653732911,8.523473429,5.504825765,5.368452898,1,3851.588889,1179.911111,
19,S,3/8/15,4639.5,25835,1,32,4616.2,25845.7,19,5.568487984,1.71712356,8.442361881,5.504825765,5.368452898,1,3851.588889,787.9111111,
20,S,3/15/15,4783.6,26580.9,1,32,4775.8,26695.7,20,5.556672799,1.714999512,8.47294868,5.504825765,5.368452898,1,3851.588889,932.0111111,
21,S,3/22/15,4847.3,26998.3,1,33,4836.5,27091.3,21,5.569760485,1.717352052,8.486177128,5.504825765,5.368452898,1,3851.588889,995.7111111,
22,S,3/29/15,4604.6,25691.7,1,33,4590.7,25750,22,5.579572601,1.719112179,8.434811083,5.504825765,5.368452898,1,3851.588889,753.0111111,
23,S,4/5/15,4303.3,23915.9,1,32,4281.8,24006.9,23,5.557572096,1.715161339,8.367137449,5.504825765,5.368452898,1,3851.588889,451.7111111,
24,S,4/12/15,4535.2,24953.6,1,31,4451.1,24950.5,24,5.502204974,1.705148916,8.419624463,5.504825765,5.368452898,1,3851.588889,683.6111111,
25,S,4/19/15,4841.3,26894.2,1,33,4801.1,26967.5,25,5.555160804,1.71472737,8.484938559,5.504825765,5.368452898,1,3851.588889,989.7111111,
26,S,4/26/15,4552.4,25215.6,1,32,4485,25123,26,5.538968456,1.711808284,8.423409845,5.504825765,5.368452898,1,3851.588889,700.8111111,
27,S,5/3/15,4666,25727.4,1,32,4479.8,25003.3,27,5.513801972,1.707254398,8.448057453,5.504825765,5.368452898,1,3851.588889,814.4111111,
28,S,5/10/15,4954.7,26928.9,1,32,4458.1,24934.2,28,5.435021293,1.692863438,8.5080919,5.504825765,5.368452898,1,3851.588889,1103.111111,
29,S,5/17/15,5083.9,27213.9,1,32,4539,25296,29,5.352957375,1.677649189,8.533833963,5.504825765,5.368452898,1,3851.588889,1232.311111,
30,S,5/24/15,4855,26457.8,1,32,4570.2,25505.8,30,5.449598352,1.695541909,8.487764381,5.504825765,5.368452898,1,3851.588889,1003.411111,
31,S,5/31/15,4641.1,25628.5,1,32,4459.3,24961,31,5.522074508,1.708753606,8.442706686,5.504825765,5.368452898,1,3851.588889,789.5111111,
32,S,6/7/15,4692.1,25191.9,1,31,4114.9,22931.2,32,5.369003218,1.680642271,8.453635522,5.504825765,5.368452898,1,3851.588889,840.5111111,
33,S,6/14/15,4565.9,24404.6,1,30,3928.6,21894.4,33,5.344970323,1.676155992,8.426370926,5.504825765,5.368452898,1,3851.588889,714.3111111,
34,S,6/21/15,4373.1,22937.3,1,31,3900,21743.3,34,5.245089296,1.657292267,8.383227419,5.504825765,5.368452898,1,3851.588889,521.5111111,
